2025-04-23 20:06:15.159 | 52f77822d5f4417784fc1462960d11fc | INFO     | module_admin.controller.task_controller:execute_task_list:43 - args: [], kwargs: {}
2025-04-23 20:06:15.163 | 52f77822d5f4417784fc1462960d11fc | INFO     | module_admin.controller.task_controller:execute_task_list:47 - 已在进程 163358 中启动任务
2025-04-23 20:06:15.164 | 52f77822d5f4417784fc1462960d11fc | INFO     | module_admin.controller.task_controller:execute_task_list:43 - args: [], kwargs: {}
2025-04-23 20:06:15.167 | 52f77822d5f4417784fc1462960d11fc | INFO     | module_admin.controller.task_controller:execute_task_list:47 - 已在进程 163359 中启动任务
2025-04-23 20:10:21.827 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:10:21.829 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:10:21.854 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:10:21.855 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:10:21.859 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:10:21.859 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:13:01.681 |  | INFO     | config.get_redis:close_redis_pool:52 - 关闭redis连接成功
2025-04-23 20:13:02.874 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:13:02.874 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:13:02.894 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:13:02.894 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:13:02.898 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:13:02.898 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:15:43.144 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:15:43.145 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:15:43.170 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:15:43.170 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:15:43.176 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:15:43.176 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:16:55.362 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:16:55.363 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:16:55.374 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:16:55.375 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:16:55.378 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:16:55.379 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:20:34.837 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:20:34.838 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:20:34.850 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:20:34.850 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:20:34.854 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:20:34.854 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:21:56.847 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:21:56.848 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:21:56.873 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:21:56.873 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:21:56.877 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:21:56.877 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:22:08.919 |  | INFO     | config.get_redis:close_redis_pool:52 - 关闭redis连接成功
2025-04-23 20:22:10.173 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:22:10.173 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:22:10.191 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:22:10.192 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:22:10.195 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:22:10.195 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:22:31.269 |  | INFO     | config.get_redis:close_redis_pool:52 - 关闭redis连接成功
2025-04-23 20:22:32.509 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:22:32.510 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:22:32.536 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:22:32.536 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:22:32.542 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:22:32.542 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
2025-04-23 20:30:43.618 |  | INFO     | config.get_redis:close_redis_pool:52 - 关闭redis连接成功
2025-04-23 20:30:44.858 |  | INFO     | server:lifespan:17 - RuoYi-FastAPI开始启动
2025-04-23 20:30:44.859 |  | INFO     | config.get_db:init_create_table:23 - 初始化数据库连接...
2025-04-23 20:30:44.885 |  | INFO     | config.get_db:init_create_table:26 - 数据库连接成功
2025-04-23 20:30:44.885 |  | INFO     | config.get_redis:create_redis_pool:19 - 开始连接redis...
2025-04-23 20:30:44.889 |  | INFO     | config.get_redis:create_redis_pool:32 - redis连接成功
2025-04-23 20:30:44.890 |  | INFO     | server:lifespan:21 - RuoYi-FastAPI启动成功
